0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
20   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/transmart/transmart-miktmc/transmart-data/solr/contexts at interval 0
25   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/transmart/transmart-miktmc/transmart-data/solr/contexts/solr-jetty-context.xml
63   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/transmart/transmart-miktmc/transmart-data/solr/webapps/solr.war!/ to /home/transmart/transmart-miktmc/transmart-data/solr/solr-webapp/webapp
1093 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1122 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1166 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1166 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: solr
1167 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: 'solr/'
1257 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/transmart/transmart-miktmc/transmart-data/solr/solr/solr.xml
1326 [main] INFO  org.apache.solr.core.ConfigSolrXml  – Config-defined core root directory: 
1331 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 375074687
1332 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=solr/]
1342 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1342 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: http://
1342 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1344 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
1344 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
1344 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
1344 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
1345 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
1345 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
1349 [main] INFO  org.apache.solr.client.solrj.impl.HttpClientUtil  – Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
1494 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
1495 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
1552 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/transmart/transmart-miktmc/transmart-data/solr/solr
1564 [main] INFO  org.apache.solr.core.CoresLocator  – Found core browse in /home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/
1565 [main] INFO  org.apache.solr.core.CoresLocator  – Found core sample in /home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/
1566 [main] INFO  org.apache.solr.core.CoresLocator  – Found core rwg in /home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/
1566 [main] INFO  org.apache.solr.core.CoresLocator  – Found 3 core definitions
1568 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'browse' using instanceDir: /home/transmart/transmart-miktmc/transmart-data/solr/solr/browse
1569 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'rwg' using instanceDir: /home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg
1568 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'sample' using instanceDir: /home/transmart/transmart-miktmc/transmart-data/solr/solr/sample
1571 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/'
1571 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/'
1572 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/'
1657 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
